"Date Time, GMT+00:00",rain,wind_speed,gust_speed,air_temp,relative_humidity,reflected_solar_radiation,incoming_solar_radiation,wind_direction,incoming_solar_radiation_corrected
2017-07-28 21:18:40,NaN,5.54,6.54,3.827,72.3,79.4,266.9,165.7,226.9
2017-07-28 21:33:40,0.0,5.03,7.05,3.722,72.5,71.9,248.1,168.5,226.9
2017-07-28 21:48:40,0.0,5.03,6.54,3.301,75.2,66.9,226.9,162.9,226.9
2017-07-28 22:03:40,0.0,4.53,6.54,3.168,75.8,61.9,205.6,161.5,226.9
2017-07-28 22:18:40,0.0,5.03,6.54,3.168,76.2,56.9,183.1,161.5,205.6
2017-07-28 22:33:40,0.0,5.03,6.54,3.327,75.2,53.1,165.6,164.3,183.1
2017-07-28 22:48:40,0.0,5.03,6.04,2.983,76.9,48.1,148.1,162.9,165.6
2017-07-28 23:03:40,0.0,5.03,7.05,3.221,76.1,41.9,130.6,162.9,148.1
2017-07-28 23:18:40,0.0,5.54,7.05,3.38,75.3,36.9,114.4,164.3,130.6
2017-07-28 23:33:40,0.0,5.03,7.05,3.38,75.2,31.9,94.4,165.7,114.4
2017-07-28 23:48:40,0.0,5.03,6.04,3.168,76.4,26.9,73.1,164.3,94.4
2017-07-29 00:03:40,0.0,5.03,7.05,3.142,76.3,21.9,56.9,164.3,73.1
2017-07-29 00:18:40,0.0,5.03,6.54,3.168,76.2,18.1,41.9,162.9,56.9
2017-07-29 00:33:40,0.0,5.03,6.54,2.7969999999999997,77.9,13.1,30.6,161.5,41.9
2017-07-29 00:48:40,0.0,5.03,6.54,2.823,77.8,9.4,21.9,160.0,30.6
2017-07-29 01:03:40,0.0,4.53,6.04,2.637,78.4,6.9,14.4,158.6,21.9
2017-07-29 01:18:40,0.0,5.03,7.05,2.53,78.6,4.4,9.4,160.0,14.4
2017-07-29 01:33:40,0.0,4.53,6.04,2.503,78.6,3.1,8.1,157.2,9.4
2017-07-29 01:48:40,0.0,5.03,6.54,2.423,78.8,1.9,5.6,161.5,8.1
2017-07-29 02:03:40,0.0,5.03,7.05,2.209,79.5,0.6,4.4,160.0,5.6
2017-07-29 02:18:40,0.0,5.03,7.05,2.37,78.7,0.6,3.1,160.0,4.4
2017-07-29 02:33:40,0.0,5.03,7.05,2.209,79.1,0.6,3.1,162.9,3.1
2017-07-29 02:48:40,0.0,5.54,7.55,2.396,77.9,0.6,1.9,161.5,3.1
2017-07-29 03:03:40,0.0,5.54,7.55,2.262,78.5,0.6,1.9,161.5,1.9
2017-07-29 03:18:40,0.0,5.54,8.05,1.9669999999999999,79.7,0.6,1.9,162.9,1.9
2017-07-29 03:33:40,0.0,5.54,7.55,2.128,78.8,0.6,1.9,161.5,1.9
2017-07-29 03:48:40,0.0,5.54,8.05,2.2359999999999998,78.2,0.6,1.9,162.9,1.9
2017-07-29 04:03:40,0.0,6.04,8.56,2.128,78.3,0.6,1.9,167.1,1.9
2017-07-29 04:18:40,0.0,6.04,8.05,2.209,77.7,0.6,3.1,167.1,3.1
2017-07-29 04:33:40,0.0,5.54,7.55,1.94,78.5,0.6,3.1,168.5,3.1
2017-07-29 04:48:40,0.0,6.04,8.05,2.0469999999999997,77.7,0.6,4.4,167.1,4.4
2017-07-29 05:03:40,0.0,6.04,8.56,2.209,76.6,0.6,4.4,167.1,4.4
2017-07-29 05:18:40,0.0,6.04,8.56,2.128,76.8,1.9,6.9,167.1,6.9
2017-07-29 05:33:40,0.0,6.04,8.05,1.9669999999999999,77.2,1.9,9.4,167.1,9.4
2017-07-29 05:48:40,0.0,6.04,8.56,2.0469999999999997,76.8,4.4,14.4,167.1,14.4
2017-07-29 06:03:40,0.0,6.54,8.56,2.0469999999999997,76.5,6.9,24.4,167.1,24.4
2017-07-29 06:18:40,0.0,6.54,9.06,2.101,75.8,9.4,35.6,168.5,35.6
2017-07-29 06:33:40,0.0,7.05,9.56,2.316,74.4,13.1,53.1,169.9,53.1
2017-07-29 06:48:40,0.0,7.55,9.56,2.316,74.0,16.9,68.1,168.5,68.1
2017-07-29 07:03:40,0.0,7.05,9.56,2.316,73.6,19.4,78.1,168.5,74.4
2017-07-29 07:18:40,0.0,7.05,9.06,2.101,74.6,19.4,74.4,169.9,78.1
2017-07-29 07:33:40,0.0,7.05,9.56,2.101,74.8,25.6,99.4,169.9,99.4
2017-07-29 07:48:40,0.0,7.55,9.56,2.262,73.6,34.4,129.4,169.9,129.4
2017-07-29 08:03:40,0.0,7.05,9.56,2.289,73.9,39.4,149.4,169.9,149.4
2017-07-29 08:18:40,0.0,7.55,9.56,2.396,73.0,46.9,175.6,171.3,175.6
2017-07-29 08:33:40,0.0,7.55,9.56,2.45,72.9,51.9,195.6,169.9,195.6
2017-07-29 08:48:40,0.0,7.55,9.56,2.503,73.1,56.9,218.1,171.3,218.1
2017-07-29 09:03:40,0.0,7.55,10.07,2.5839999999999996,72.5,61.9,238.1,171.3,218.1
2017-07-29 09:18:40,0.0,8.05,10.07,2.557,72.4,68.1,259.4,171.3,218.1
2017-07-29 09:33:40,0.0,7.55,9.56,2.5839999999999996,72.9,73.1,278.1,172.7,218.1
2017-07-29 09:48:40,0.0,7.55,10.07,2.61,72.7,78.1,258.1,172.7,218.1
2017-07-29 10:03:40,0.0,7.55,10.57,2.5839999999999996,73.5,83.1,33.1,172.7,218.1
2017-07-29 10:18:40,0.0,7.55,10.07,2.503,74.1,88.1,33.1,174.1,208.1
2017-07-29 10:33:40,0.0,7.55,9.56,2.557,74.4,94.4,34.4,174.1,208.1
2017-07-29 10:48:40,0.0,7.55,10.07,2.61,74.3,98.1,34.4,176.9,36.9
2017-07-29 11:03:40,0.0,7.55,9.56,2.5839999999999996,74.9,103.1,35.6,176.9,36.9
2017-07-29 11:18:40,0.0,7.05,9.56,2.5839999999999996,75.4,109.4,208.1,174.1,36.9
2017-07-29 11:33:40,0.0,7.05,9.06,2.5839999999999996,75.6,113.1,439.4,174.1,208.1
2017-07-29 11:48:40,0.0,7.05,9.06,2.7439999999999998,75.5,118.1,36.9,174.1,439.4
2017-07-29 12:03:40,0.0,7.05,9.06,2.823,75.4,123.1,459.4,174.1,459.4
2017-07-29 12:18:40,0.0,7.05,9.06,3.036,74.9,128.1,486.9,174.1,486.9
2017-07-29 12:33:40,0.0,6.54,8.05,3.2739999999999996,74.2,131.9,501.9,175.5,501.9
2017-07-29 12:48:40,0.0,6.04,8.05,3.301,74.5,135.6,515.6,174.1,515.6
2017-07-29 13:03:40,0.0,6.04,8.05,3.406,74.1,140.6,526.9,174.1,526.9
2017-07-29 13:18:40,0.0,6.04,8.56,3.38,74.2,144.4,536.9,175.5,536.9
2017-07-29 13:33:40,0.0,6.04,8.56,3.4589999999999996,74.5,148.1,546.9,175.5,546.9
2017-07-29 13:48:40,0.0,6.04,8.05,3.5380000000000003,74.2,151.9,554.4,176.9,554.4
