Timestamp (UTC),Discharge_m^3/s,Concentration_ppb
2017-07-23 15:47:05,0.12918,5.16068
2017-07-23 15:47:10,0.12590,5.29505
2017-07-23 15:47:15,0.12587,5.29633
2017-07-23 15:47:20,0.12862,5.18330
2017-07-23 15:47:25,0.12896,5.16970
2017-07-23 15:47:30,0.13322,5.00428
2017-07-23 15:47:35,0.12701,5.24884
2017-07-23 15:47:40,0.12937,5.15332
2017-07-23 15:47:45,0.12788,5.21318
2017-07-23 15:47:50,0.12538,5.31702
2017-07-23 15:47:55,0.13115,5.08310
2017-07-23 15:48:00,0.13270,5.02393
2017-07-23 15:48:05,0.13504,4.93695
2017-07-23 15:48:10,0.13410,4.97142
2017-07-23 15:48:15,0.12790,5.21224
2017-07-23 15:48:20,0.13262,5.02675
2017-07-23 15:48:25,0.13404,4.97368
2017-07-23 15:48:30,0.13282,5.01928
2017-07-23 15:48:35,0.13152,5.06891
2017-07-23 15:48:40,0.13401,4.97476
2017-07-23 15:48:45,0.13344,4.99586
2017-07-23 15:48:50,0.13407,4.97256
2017-07-23 15:48:55,0.13168,5.06296
2017-07-23 15:49:00,0.13302,5.01187
2017-07-23 15:49:05,0.12983,5.13497
2017-07-23 15:49:10,0.13165,5.06393
2017-07-23 15:49:15,0.13243,5.03429
2017-07-23 15:49:20,0.13212,5.04589
2017-07-23 15:49:25,0.13784,4.83652
2017-07-23 15:49:30,0.13549,4.92055
2017-07-23 15:49:35,0.13558,4.91718
2017-07-23 15:49:40,0.13408,4.97231
2017-07-23 15:49:45,0.13642,4.88685
2017-07-23 15:49:50,0.13290,5.01624
2017-07-23 15:49:55,0.13332,5.00033
2017-07-23 15:50:00,0.13764,4.84370
2017-07-23 15:50:05,0.13462,4.95206
2017-07-23 15:50:10,0.13260,5.02779
2017-07-23 15:50:15,0.13796,4.83238
2017-07-23 15:50:20,0.13656,4.88196
2017-07-23 15:50:25,0.13696,4.86772
2017-07-23 15:50:30,0.13647,4.88496
2017-07-23 15:50:35,0.13342,4.99672
2017-07-23 15:50:40,0.13591,4.90521
2017-07-23 15:50:45,0.13768,4.84232
2017-07-23 15:50:50,0.13685,4.87142
2017-07-23 15:50:55,0.13667,4.87784
2017-07-23 15:51:00,0.14320,4.65560
2017-07-23 15:51:05,0.13619,4.89507
2017-07-23 15:51:10,0.13971,4.77175
2017-07-23 15:51:15,0.13666,4.87839
2017-07-23 15:51:20,0.13287,5.01752
2017-07-23 15:51:25,0.13573,4.91153
2017-07-23 15:51:30,0.13953,4.77787
2017-07-23 15:51:35,0.14449,4.61396
2017-07-23 15:51:40,0.13746,4.85005
2017-07-23 15:51:45,0.14188,4.69889
2017-07-23 15:51:50,0.14081,4.73445
2017-07-23 15:51:55,0.13766,4.84276
2017-07-23 15:52:00,0.14286,4.66659
2017-07-23 15:52:05,0.14279,4.66873
2017-07-23 15:52:10,0.14664,4.54643
2017-07-23 15:52:15,0.14091,4.73107
2017-07-23 15:52:20,0.13746,4.85002
2017-07-23 15:52:25,0.14282,4.66801
2017-07-23 15:52:30,0.13975,4.77034
2017-07-23 15:52:35,0.14333,4.65135
2017-07-23 15:52:40,0.14386,4.63404
2017-07-23 15:52:45,0.14502,4.59695
2017-07-23 15:52:50,0.14498,4.59822
2017-07-23 15:52:55,0.14498,4.59821
2017-07-23 15:53:00,0.13972,4.77154
2017-07-23 15:53:05,0.14624,4.55887
2017-07-23 15:53:10,0.14400,4.62953
2017-07-23 15:53:15,0.14594,4.56810
2017-07-23 15:53:20,0.14204,4.69362
2017-07-23 15:53:25,0.14318,4.65609
2017-07-23 15:53:30,0.14323,4.65445
2017-07-23 15:53:35,0.14385,4.63435
2017-07-23 15:53:40,0.14314,4.65745
2017-07-23 15:53:45,0.14578,4.57314
2017-07-23 15:53:50,0.14570,4.57552
2017-07-23 15:53:55,0.14409,4.62679
2017-07-23 15:54:00,0.14149,4.71181
2017-07-23 15:54:05,0.14500,4.59768
2017-07-23 15:54:10,0.14660,4.54738
2017-07-23 15:54:15,0.14162,4.70729
2017-07-23 15:54:20,0.14647,4.55145
2017-07-23 15:54:25,0.14802,4.50399
2017-07-23 15:54:30,0.14417,4.62432
2017-07-23 15:54:35,0.14180,4.70153
2017-07-23 15:54:40,0.13955,4.77711
2017-07-23 15:54:45,0.14927,4.46614
2017-07-23 15:54:50,0.14615,4.56168
2017-07-23 15:54:55,0.14538,4.58560
2017-07-23 15:55:00,0.14070,4.73814
2017-07-23 15:55:05,0.14318,4.65611
2017-07-23 15:55:10,0.14603,4.56541
2017-07-23 15:55:15,0.14322,4.65485
2017-07-23 15:55:20,0.14035,4.74987
2017-07-23 15:55:25,0.14556,4.57997
2017-07-23 15:55:30,0.14573,4.57479
2017-07-23 15:55:35,0.15014,4.44035
2017-07-23 15:55:40,0.14231,4.68463
2017-07-23 15:55:45,0.14028,4.75255
2017-07-23 15:55:50,0.14464,4.60925
2017-07-23 15:55:55,0.14851,4.48909
2017-07-23 15:56:00,0.14322,4.65497
2017-07-23 15:56:05,0.14759,4.51703
2017-07-23 15:56:10,0.14402,4.62883
2017-07-23 15:56:15,0.14675,4.54273
2017-07-23 15:56:20,0.14361,4.64223
2017-07-23 15:56:25,0.14739,4.52330
2017-07-23 15:56:30,0.14419,4.62356
2017-07-23 15:56:35,0.14408,4.62708
2017-07-23 15:56:40,0.14362,4.64190
2017-07-23 15:56:45,0.14164,4.70683
2017-07-23 15:56:50,0.13971,4.77166
2017-07-23 15:56:55,0.14465,4.60876
2017-07-23 15:57:00,0.14674,4.54333
2017-07-23 15:57:05,0.14304,4.66062
2017-07-23 15:57:10,0.14401,4.62932
2017-07-23 15:57:15,0.14348,4.64633
2017-07-23 15:57:20,0.14680,4.54127
2017-07-23 15:57:25,0.15029,4.43590
2017-07-23 15:57:30,0.14181,4.70124
2017-07-23 15:57:35,0.14130,4.71824
2017-07-23 15:57:40,0.14637,4.55464
2017-07-23 15:57:45,0.15114,4.41091
2017-07-23 15:57:50,0.14585,4.57090
2017-07-23 15:57:55,0.14712,4.53134
2017-07-23 15:58:00,0.14454,4.61242
2017-07-23 15:58:05,0.14194,4.69688
2017-07-23 15:58:10,0.14274,4.67062
2017-07-23 15:58:15,0.14608,4.56385
2017-07-23 15:58:20,0.14392,4.63232
2017-07-23 15:58:25,0.14593,4.56853
2017-07-23 15:58:30,0.14301,4.66171
2017-07-23 15:58:35,0.14285,4.66700
2017-07-23 15:58:40,0.14956,4.45761
2017-07-23 15:58:45,0.14653,4.54976
2017-07-23 15:58:50,0.14530,4.58822
2017-07-23 15:58:55,0.14560,4.57887
2017-07-23 15:59:00,0.14417,4.62425
2017-07-23 15:59:05,0.14333,4.65122
2017-07-23 15:59:10,0.14207,4.69243
2017-07-23 15:59:15,0.14154,4.70994
2017-07-23 15:59:20,0.14581,4.57209
2017-07-23 15:59:25,0.14503,4.59676
2017-07-23 15:59:30,0.14088,4.73199
2017-07-23 15:59:35,0.14352,4.64514
2017-07-23 15:59:40,0.14507,4.59540
2017-07-23 15:59:45,0.14314,4.65733
2017-07-23 15:59:50,0.14373,4.63834
2017-07-23 15:59:55,0.14075,4.73653
2017-07-23 16:00:00,0.14666,4.54551
2017-07-23 16:00:05,0.14635,4.55516
2017-07-23 16:00:10,0.14276,4.67000
2017-07-23 16:00:15,0.14162,4.70760
2017-07-23 16:00:20,0.14624,4.55881
2017-07-23 16:00:25,0.14603,4.56529
2017-07-23 16:00:30,0.14537,4.58595
2017-07-23 16:00:35,0.14277,4.66953
2017-07-23 16:00:40,0.14048,4.74570
2017-07-23 16:00:45,0.14291,4.66497
2017-07-23 16:00:50,0.14051,4.74474
2017-07-23 16:00:55,0.14845,4.49090
2017-07-23 16:01:00,0.14422,4.62262
2017-07-23 16:01:05,0.14485,4.60237
2017-07-23 16:01:10,0.14156,4.70946
2017-07-23 16:01:15,0.14862,4.48571
2017-07-23 16:01:20,0.14322,4.65469
2017-07-23 16:01:25,0.14288,4.66597
