Timestamp (UTC),Discharge_m^3/s,Concentration_ppb
2017-07-15 16:10:02,0.17553,3.13332
2017-07-15 16:10:07,0.17716,3.10460
2017-07-15 16:10:12,0.17995,3.05638
2017-07-15 16:10:17,0.18039,3.04890
2017-07-15 16:10:22,0.18286,3.00774
2017-07-15 16:10:27,0.18389,2.99089
2017-07-15 16:10:32,0.18006,3.05451
2017-07-15 16:10:37,0.17924,3.06858
2017-07-15 16:10:42,0.17742,3.09993
2017-07-15 16:10:47,0.17548,3.13419
2017-07-15 16:10:52,0.17264,3.18578
2017-07-15 16:10:57,0.17211,3.19562
2017-07-15 16:11:02,0.17340,3.17186
2017-07-15 16:11:07,0.17307,3.17797
2017-07-15 16:11:12,0.17781,3.09315
2017-07-15 16:11:17,0.17888,3.07473
2017-07-15 16:11:22,0.18142,3.03172
2017-07-15 16:11:27,0.18188,3.02393
2017-07-15 16:11:32,0.18136,3.03256
2017-07-15 16:11:37,0.17829,3.08487
2017-07-15 16:11:42,0.17162,3.20484
2017-07-15 16:11:47,0.16924,3.24975
2017-07-15 16:11:52,0.16371,3.35963
2017-07-15 16:11:57,0.16110,3.41413
2017-07-15 16:12:02,0.16037,3.42953
2017-07-15 16:12:07,0.16048,3.42722
2017-07-15 16:12:12,0.16112,3.41369
2017-07-15 16:12:17,0.16298,3.37472
2017-07-15 16:12:22,0.16230,3.38889
2017-07-15 16:12:27,0.16262,3.38213
2017-07-15 16:12:32,0.16299,3.37437
2017-07-15 16:12:37,0.16312,3.37170
2017-07-15 16:12:42,0.16279,3.37850
2017-07-15 16:12:47,0.16256,3.38334
2017-07-15 16:12:52,0.16323,3.36944
2017-07-15 16:12:57,0.16442,3.34506
2017-07-15 16:13:02,0.16648,3.30371
2017-07-15 16:13:07,0.16854,3.26340
2017-07-15 16:13:12,0.17105,3.21553
2017-07-15 16:13:17,0.17049,3.22596
2017-07-15 16:13:22,0.16903,3.25391
2017-07-15 16:13:27,0.16845,3.26497
2017-07-15 16:13:32,0.16867,3.26075
2017-07-15 16:13:37,0.16804,3.27299
2017-07-15 16:13:42,0.16994,3.23650
2017-07-15 16:13:47,0.17192,3.19914
2017-07-15 16:13:52,0.17088,3.21854
2017-07-15 16:13:57,0.17440,3.15371
2017-07-15 16:14:02,0.17656,3.11516
2017-07-15 16:14:07,0.18063,3.04497
2017-07-15 16:14:12,0.18269,3.01058
2017-07-15 16:14:17,0.18436,2.98329
2017-07-15 16:14:22,0.18108,3.03733
2017-07-15 16:14:27,0.17711,3.10540
2017-07-15 16:14:32,0.17618,3.12187
2017-07-15 16:14:37,0.17171,3.20305
2017-07-15 16:14:42,0.16792,3.27528
2017-07-15 16:14:47,0.16325,3.36901
2017-07-15 16:14:52,0.16055,3.42581
2017-07-15 16:14:57,0.15978,3.44224
2017-07-15 16:15:02,0.15927,3.45316
2017-07-15 16:15:07,0.16009,3.43552
2017-07-15 16:15:12,0.16031,3.43093
2017-07-15 16:15:17,0.16083,3.41970
2017-07-15 16:15:22,0.15867,3.46634
2017-07-15 16:15:27,0.15812,3.47827
2017-07-15 16:15:32,0.16176,3.40015
2017-07-15 16:15:37,0.16330,3.36796
2017-07-15 16:15:42,0.16277,3.37895
2017-07-15 16:15:47,0.16682,3.29698
2017-07-15 16:15:52,0.16826,3.26867
2017-07-15 16:15:57,0.17026,3.23036
2017-07-15 16:16:02,0.16886,3.25708
2017-07-15 16:16:07,0.16712,3.29099
2017-07-15 16:16:12,0.16500,3.33338
2017-07-15 16:16:17,0.16314,3.37138
2017-07-15 16:16:22,0.16146,3.40644
2017-07-15 16:16:27,0.16141,3.40745
2017-07-15 16:16:32,0.16283,3.37769
2017-07-15 16:16:37,0.16320,3.37005
2017-07-15 16:16:42,0.16438,3.34585
2017-07-15 16:16:47,0.16531,3.32713
2017-07-15 16:16:52,0.16668,3.29965
2017-07-15 16:16:57,0.16796,3.27460
2017-07-15 16:17:02,0.16668,3.29980
2017-07-15 16:17:07,0.16504,3.33254
2017-07-15 16:17:12,0.16503,3.33281
2017-07-15 16:17:17,0.16354,3.36308
2017-07-15 16:17:22,0.16314,3.37124
2017-07-15 16:17:27,0.16439,3.34562
2017-07-15 16:17:32,0.16520,3.32931
2017-07-15 16:17:37,0.16637,3.30585
2017-07-15 16:17:42,0.16736,3.28628
2017-07-15 16:17:47,0.16587,3.31575
2017-07-15 16:17:52,0.16711,3.29134
2017-07-15 16:17:57,0.16520,3.32927
2017-07-15 16:18:02,0.16631,3.30708
2017-07-15 16:18:07,0.16450,3.34339
2017-07-15 16:18:12,0.16424,3.34875
2017-07-15 16:18:17,0.16496,3.33411
2017-07-15 16:18:22,0.16712,3.29110
2017-07-15 16:18:27,0.16798,3.27419
2017-07-15 16:18:32,0.16714,3.29075
2017-07-15 16:18:37,0.16385,3.35680
2017-07-15 16:18:42,0.15930,3.45269
2017-07-15 16:18:47,0.16025,3.43220
2017-07-15 16:18:52,0.16036,3.42970
2017-07-15 16:18:57,0.16308,3.37252
2017-07-15 16:19:02,0.16856,3.26288
2017-07-15 16:19:07,0.16928,3.24896
2017-07-15 16:19:12,0.16731,3.28731
2017-07-15 16:19:17,0.16466,3.34026
2017-07-15 16:19:22,0.16233,3.38818
2017-07-15 16:19:27,0.15925,3.45378
2017-07-15 16:19:32,0.15890,3.46134
2017-07-15 16:19:37,0.15774,3.48668
2017-07-15 16:19:42,0.15819,3.47693
2017-07-15 16:19:47,0.15904,3.45825
2017-07-15 16:19:52,0.16098,3.41656
2017-07-15 16:19:57,0.16323,3.36951
2017-07-15 16:20:02,0.16362,3.36137
2017-07-15 16:20:07,0.16458,3.34177
2017-07-15 16:20:12,0.16430,3.34747
2017-07-15 16:20:17,0.16443,3.34484
2017-07-15 16:20:22,0.16384,3.35698
2017-07-15 16:20:27,0.16360,3.36179
2017-07-15 16:20:32,0.16126,3.41068
2017-07-15 16:20:37,0.16034,3.43016
2017-07-15 16:20:42,0.16021,3.43294
2017-07-15 16:20:47,0.15974,3.44304
2017-07-15 16:20:52,0.16110,3.41409
2017-07-15 16:20:57,0.16461,3.34131
2017-07-15 16:21:02,0.16588,3.31567
2017-07-15 16:21:07,0.16551,3.32302
2017-07-15 16:21:12,0.16415,3.35063
2017-07-15 16:21:17,0.16319,3.37027
2017-07-15 16:21:22,0.16202,3.39458
2017-07-15 16:21:27,0.16129,3.40994
2017-07-15 16:21:32,0.16179,3.39950
2017-07-15 16:21:37,0.16117,3.41263
2017-07-15 16:21:42,0.15883,3.46288
2017-07-15 16:21:47,0.15771,3.48742
2017-07-15 16:21:52,0.15672,3.50947
2017-07-15 16:21:57,0.15557,3.53530
2017-07-15 16:22:02,0.15550,3.53694
2017-07-15 16:22:07,0.15745,3.49308
2017-07-15 16:22:12,0.15951,3.44810
2017-07-15 16:22:17,0.16111,3.41391
2017-07-15 16:22:22,0.16249,3.38474
2017-07-15 16:22:27,0.16279,3.37857
2017-07-15 16:22:32,0.16290,3.37640
2017-07-15 16:22:37,0.15944,3.44947
2017-07-15 16:22:42,0.15963,3.44556
2017-07-15 16:22:47,0.15848,3.47042
2017-07-15 16:22:52,0.15961,3.44591
2017-07-15 16:22:57,0.16255,3.38350
2017-07-15 16:23:02,0.16505,3.33238
2017-07-15 16:23:07,0.16452,3.34311
2017-07-15 16:23:12,0.16356,3.36261
2017-07-15 16:23:17,0.16159,3.40367
2017-07-15 16:23:22,0.16148,3.40597
2017-07-15 16:23:27,0.16148,3.40604
2017-07-15 16:23:32,0.16461,3.34132
2017-07-15 16:23:37,0.16568,3.31972
2017-07-15 16:23:42,0.16583,3.31655
2017-07-15 16:23:47,0.16531,3.32703
2017-07-15 16:23:52,0.16181,3.39902
2017-07-15 16:23:57,0.15758,3.49026
2017-07-15 16:24:02,0.15765,3.48875
2017-07-15 16:24:07,0.15728,3.49696
2017-07-15 16:24:12,0.15766,3.48851
2017-07-15 16:24:17,0.15719,3.49896
2017-07-15 16:24:22,0.15691,3.50523
2017-07-15 16:24:27,0.15727,3.49724
2017-07-15 16:24:32,0.15668,3.51024
2017-07-15 16:24:37,0.15846,3.47093
2017-07-15 16:24:42,0.16219,3.39108
2017-07-15 16:24:47,0.16308,3.37259
2017-07-15 16:24:52,0.16438,3.34597
2017-07-15 16:24:57,0.16523,3.32866
2017-07-15 16:25:02,0.16559,3.32140
2017-07-15 16:25:07,0.16598,3.31363
2017-07-15 16:25:12,0.16440,3.34547
2017-07-15 16:25:17,0.16435,3.34648
2017-07-15 16:25:22,0.16460,3.34135
2017-07-15 16:25:27,0.16230,3.38869
2017-07-15 16:25:32,0.15973,3.44324
2017-07-15 16:25:37,0.15952,3.44787
2017-07-15 16:25:42,0.16007,3.43609
2017-07-15 16:25:47,0.16159,3.40364
2017-07-15 16:25:52,0.16235,3.38768
2017-07-15 16:25:57,0.16267,3.38099
2017-07-15 16:26:02,0.16052,3.42630
2017-07-15 16:26:07,0.15992,3.43926
