Timestamp (UTC),Level (m),Velocity (m/s),Discharge (m^3/s),Discharge smoothed (m^3/s)
2018-08-18 22:00:00,0.19600,0.23800,0.42700,0.56421
2018-08-18 22:01:00,0.27100,0.23700,0.58900,0.56278
2018-08-18 22:02:00,0.28000,0.23700,0.60700,0.56138
2018-08-18 22:03:00,0.28100,0.23600,0.60700,0.55999
2018-08-18 22:04:00,0.31900,0.23600,0.68900,0.55862
2018-08-18 22:05:00,0.24100,0.23600,0.51800,0.55727
2018-08-18 22:06:00,0.24900,0.23600,0.53700,0.55594
2018-08-18 22:07:00,0.22400,0.23500,0.48000,0.55463
2018-08-18 22:08:00,0.32900,0.23400,0.70300,0.55334
2018-08-18 22:09:00,0.22000,0.23400,0.46900,0.55207
2018-08-18 22:10:00,0.28800,0.23400,0.61500,0.55081
2018-08-18 22:11:00,0.26100,0.23300,0.55600,0.54958
2018-08-18 22:13:00,0.29100,0.23300,0.61800,0.54836
2018-08-18 22:14:00,0.21200,0.23200,0.44900,0.54716
2018-08-18 22:15:00,0.26900,0.23200,0.56900,0.54598
2018-08-18 22:16:00,0.20500,0.23100,0.43100,0.54482
2018-08-18 22:17:00,0.26700,0.23100,0.56100,0.54368
2018-08-18 22:19:00,0.26400,0.23100,0.55400,0.54256
2018-08-18 22:20:00,0.27500,0.23000,0.57500,0.54146
2018-08-18 22:21:00,0.26100,0.23000,0.54600,0.54037
2018-08-18 22:22:00,0.25900,0.22900,0.54000,0.53931
2018-08-18 22:23:00,0.22100,0.22900,0.46100,0.53826
2018-08-18 22:25:00,0.26300,0.22800,0.54400,0.53723
2018-08-18 22:26:00,0.21500,0.22800,0.44500,0.53622
2018-08-18 22:27:00,0.27400,0.22800,0.56600,0.53524
2018-08-18 22:28:00,0.22200,0.22700,0.45800,0.53427
2018-08-18 22:29:00,0.26200,0.22700,0.53900,0.53331
2018-08-18 22:30:00,0.22000,0.22600,0.45100,0.53238
2018-08-18 22:31:00,0.28100,0.22600,0.57400,0.53147
2018-08-18 22:32:00,0.26100,0.22500,0.53300,0.53057
2018-08-18 22:33:00,0.22800,0.22500,0.46500,0.52970
2018-08-18 22:34:00,0.27400,0.22500,0.55900,0.52884
2018-08-18 22:35:00,0.23100,0.22400,0.46800,0.52801
2018-08-18 22:36:00,0.30400,0.22400,0.61600,0.52719
2018-08-18 22:37:00,0.26700,0.22400,0.53900,0.52639
2018-08-18 22:38:00,0.30600,0.22300,0.61700,0.52561
2018-08-18 22:39:00,0.31600,0.22300,0.63600,0.52049
2018-08-18 22:40:00,0.24000,0.22200,0.48200,0.51944
2018-08-18 22:41:00,0.29800,0.22200,0.59600,0.51726
2018-08-18 22:42:00,0.26900,0.22200,0.53600,0.51817
2018-08-18 22:43:00,0.24000,0.22100,0.47800,0.52218
2018-08-18 22:44:00,0.22700,0.22100,0.45300,0.52058
2018-08-18 22:45:00,0.26700,0.22100,0.53200,0.51980
2018-08-18 22:46:00,0.30300,0.22100,0.60100,0.51871
2018-08-18 22:47:00,0.23000,0.22100,0.45700,0.52439
2018-08-18 22:49:00,0.32100,0.21900,0.63500,0.52085
2018-08-18 22:50:00,0.29900,0.21900,0.58800,0.52263
2018-08-18 22:51:00,0.29500,0.21900,0.58000,0.52444
2018-08-18 22:52:00,0.21500,0.21900,0.42300,0.52751
2018-08-18 22:53:00,0.25000,0.21800,0.48900,0.52580
2018-08-18 22:54:00,0.26200,0.21700,0.51100,0.52349
2018-08-18 22:55:00,0.27600,0.21800,0.53900,0.51891
2018-08-18 22:56:00,0.24800,0.21700,0.48400,0.51847
2018-08-18 22:57:00,0.25700,0.21700,0.50000,0.51861
2018-08-18 22:58:00,0.23600,0.21700,0.45900,0.51742
2018-08-18 22:59:00,0.28800,0.21700,0.56000,0.51729
2018-08-18 23:00:00,0.25700,0.21600,0.49800,0.52094
2018-08-18 23:01:00,0.27200,0.21600,0.52800,0.51834
2018-08-18 23:02:00,0.29100,0.21500,0.56200,0.51884
2018-08-18 23:03:00,0.29400,0.21500,0.56600,0.51841
2018-08-18 23:04:00,0.20500,0.21400,0.39300,0.51758
2018-08-18 23:05:00,0.17600,0.21400,0.33700,0.51520
2018-08-18 23:06:00,0.23300,0.21400,0.44700,0.51453
2018-08-18 23:07:00,0.30900,0.21400,0.59000,0.51094
2018-08-18 23:08:00,0.25300,0.21400,0.48400,0.50998
2018-08-18 23:09:00,0.29200,0.21400,0.55900,0.50957
2018-08-18 23:10:00,0.24600,0.21300,0.46900,0.50599
