Day (2012),Borehole 4 (m),Borehole 6 (m),Borehole 7 (m),FOXX Velocity (m/a),25N1 Velocity (m/a),FOXX Bed Separation (m),25N1 Bed Separation (m),Temperature (*C),Moulin 3 Dday,Moulin 3 (m),Moulin 4 Dday,Moulin 4 (m)
140,687.857594,686.198259,661.2804464,82.83811116,77.74160592,0.000517763,-0.017236834,-1.376600533,191.8333333,558.99238,192.5680556,NaN
140.0104167,687.857594,686.1931605,661.2713913,83.02845705,77.943214,0.000649173,-0.017143297,-1.587120556,191.84375,560.048559,192.5681134,NaN
140.0208333,687.857594,686.2084561,661.2648057,83.0444143,77.84216867,0.000723919,-0.017081368,-1.780360294,191.8541667,561.4205675,192.5681713,NaN
140.03125,687.888185,686.2441455,661.2598665,82.74380574,77.20751452,0.000727308,-0.016943817,-1.933400312,191.8645833,562.2300077,192.5682292,NaN
140.0416667,687.918776,686.2084562,661.2565737,82.51433696,77.25101395,0.00066287,-0.016876342,-2.107320373,191.875,561.9931936,192.568287,NaN
140.0520833,687.8932835,686.218653,661.2483416,82.12834224,76.76810811,0.000636792,-0.016820866,-2.272160376,191.8854167,560.8557764,192.5683449,NaN
140.0625,687.918776,686.208456,661.2425792,81.92695091,76.1437539,0.000605124,-0.016753591,-2.431880317,191.8958333,558.7451016,192.5684028,NaN
140.0729167,687.877988,686.1931606,661.234347,81.70846715,75.90026447,0.000582535,-0.016698729,-2.542440244,191.90625,556.1584394,192.5684606,NaN
140.0833333,687.918776,686.2084562,661.2285845,81.58243489,75.94647775,0.000553779,-0.016590067,-2.62492022,191.9166667,553.3411394,192.5685185,NaN
140.09375,687.9476675,686.2441455,661.2187059,81.70018182,76.25568463,0.000573745,-0.016461497,-2.709520227,191.9270833,550.2619339,192.5685764,NaN
140.1041667,687.942569,686.22885,661.2104737,81.71508903,75.61155055,0.000582064,-0.016325996,-2.800360142,191.9375,547.0926116,192.5686343,NaN
140.1145833,687.9340715,686.239047,661.2055343,81.5800433,75.39739239,0.000600088,-0.016265139,-2.864880187,191.9479167,544.2824373,192.5686921,NaN
140.125,687.918776,686.22885,661.2055343,81.19476063,75.67744577,0.000637478,-0.016158266,-2.935560163,191.9583333,542.1297357,192.56875,NaN
