Day (2011),Borehole 4 (m),Borehole 6 (m),Borehole 7 (m),FOXX velocity (m/a),FOXX bed seperation (m),Temperature (*C),FOXX  Moulin Dday,FOXX moulin (m)
140,NaN,NaN,NaN,81.62870134,-0.000706246,-5.432,199.0173611,567.2399255
140.0104167,NaN,NaN,NaN,81.8660736,-0.000763884,-5.64000128,199.0208333,560.8399334
140.0208333,NaN,NaN,NaN,81.34390316,-0.000786783,-5.848001919,199.0243056,558.7146565
140.03125,NaN,NaN,NaN,81.5259425,-0.000777221,-6.054006398,199.0277778,556.576672
140.0416667,NaN,NaN,NaN,81.73511188,-0.00083597,-6.280004479,199.03125,553.390125
140.0520833,NaN,NaN,NaN,81.66294768,-0.000956715,-6.52799872,199.0347222,551.2478322
140.0625,NaN,NaN,NaN,81.61877259,-0.00108452,-6.78399872,199.0381944,549.1134499
140.0729167,NaN,NaN,NaN,81.78584499,-0.001208855,-7.03999872,199.0416667,546.966606
140.0833333,NaN,NaN,NaN,82.55957288,-0.001297745,-7.259991039,199.0451389,545.8994422
140.09375,NaN,NaN,NaN,82.50303469,-0.001486194,-7.437984642,199.0486111,NaN
140.1041667,NaN,NaN,NaN,82.6974721,-0.001520498,-7.589986561,199.0520833,NaN
140.1145833,NaN,NaN,NaN,82.47772082,-0.001524163,-7.727991999,199.0555556,NaN
140.125,NaN,NaN,NaN,82.61600993,-0.001555039,-7.859993919,199.0590278,NaN
140.1354167,NaN,NaN,NaN,82.43370005,-0.00151242,-7.975993279,199.0625,NaN
140.1458333,NaN,NaN,NaN,82.38560639,-0.001494991,-8.101995519,199.0659722,NaN
140.15625,NaN,NaN,NaN,81.93101931,-0.001410071,-8.241989761,199.0694444,NaN
140.1666667,NaN,NaN,NaN,81.8789775,-0.001304116,-8.363989761,199.0729167,NaN
140.1770833,NaN,NaN,NaN,82.35455016,-0.001195868,-8.465995839,199.0763889,NaN
140.1875,NaN,NaN,NaN,82.65659967,-0.001187952,-8.55199808,199.0798611,NaN
140.1979167,NaN,NaN,NaN,82.76952225,-0.001218939,-8.62799872,199.0833333,NaN
140.2083333,NaN,NaN,NaN,82.88331593,-0.001161165,-8.7039968,199.0868056,NaN
140.21875,NaN,NaN,NaN,83.25756219,-0.001163805,-8.771994241,199.0902778,NaN
140.2291667,NaN,NaN,NaN,83.29731497,-0.001198284,-8.827995521,199.09375,NaN
140.2395833,NaN,NaN,NaN,83.6171954,-0.001301513,-8.86999904,199.0972222,NaN
140.25,NaN,NaN,NaN,83.92085972,-0.001395739,-8.89800032,199.1006944,NaN
140.2604167,NaN,NaN,NaN,84.26167086,-0.001588921,-8.91800032,199.1041667,NaN
140.2708333,NaN,NaN,NaN,84.31003957,-0.001692482,-8.92999712,199.1076389,NaN
140.28125,NaN,NaN,NaN,84.30721098,-0.001859192,-8.927995201,199.1111111,NaN
140.2916667,NaN,NaN,NaN,84.28015362,-0.001976616,-8.91399712,199.1145833,NaN
140.3020833,NaN,NaN,NaN,84.13830009,-0.002046471,-8.88400064,199.1180556,NaN
140.3125,NaN,NaN,NaN,84.09651332,-0.002088134,-8.83600192,199.1215278,NaN
140.3229167,NaN,NaN,NaN,84.50117878,-0.002114163,-8.768,199.125,NaN
