,Station Number,Year,Julian Decimal Time,SW_down,SW_up,Net Radiation,TC Air 1,TC Air 2,CS500 T Air 1,CS500 T Air 2,RH 1,RH 2,Atmos Pressure,Snow Height 1,Snow Height 2,SWinMax,SWoutMax,NetRadMax,Albedo,Zenith Angle,Avg Air Temp,U1,U Dir 2,albedo,melt_rate
2017-01-01 00:00:00,9,2017-01-01,1.0,0.0,0.0,60.86,-6.0,-5.91,-6.07,-5.83,96.74,98.53,,,,0.6,0.0,0.83,0.62,124.89,-5.952500000000001,,,0.6222222222222223,0.0
2017-01-01 01:00:00,9,2017-01-01,1.042,0.0,0.0,60.86,-5.23,-5.18,-5.3,-5.1,96.1,98.01,,,,0.6,0.0,0.65,0.62,129.03,-5.202500000000001,,,0.6222222222222223,0.0
2017-01-01 02:00:00,9,2017-01-01,1.083,0.0,0.0,61.47,-4.95,-4.9,-5.01,-4.83,96.25,98.58,,,,0.6,0.0,0.55,0.62,131.96,-4.9225,,,0.6222222222222223,0.0
2017-01-01 03:00:00,9,2017-01-01,1.125,0.0,0.0,62.16,-5.45,-5.42,-5.49,-5.3,98.5,100.52,,,,0.0,0.0,1.36,0.62,133.45,-5.415,,,0.6222222222222223,0.0
2017-01-01 04:00:00,9,2017-01-01,1.167,0.0,0.0,66.21,-6.37,-6.36,-6.43,-6.26,103.49,105.34,,,,0.0,0.0,0.89,0.62,133.22,-6.355,,,0.6222222222222223,0.0
2017-01-01 05:00:00,9,2017-01-01,1.208,0.0,0.0,68.05,-6.79,-6.78,-6.87,-6.7,104.17,106.13,,,,0.6,0.0,0.45,0.62,131.35,-6.785,,,0.6222222222222223,0.0
2017-01-01 06:00:00,9,2017-01-01,1.25,0.0,0.0,70.35,-6.46,-6.45,-6.53,-6.35,104.14,106.29,,,,0.6,0.0,0.68,0.62,128.01,-6.4475,,,0.6222222222222223,0.0
2017-01-01 07:00:00,9,2017-01-01,1.292,0.0,0.0,71.75,-5.87,-5.87,-5.96,-5.79,103.96,106.12,,,,0.0,0.0,0.38,0.62,123.63,-5.8725,,,0.6222222222222223,0.0
2017-01-01 08:00:00,9,2017-01-01,1.333,0.0,0.0,69.68,-4.89,-4.89,-4.98,-4.82,100.2,102.77,,,,0.0,0.0,1.5,0.62,118.73,-4.895,,,0.6222222222222223,0.0
2017-01-01 09:00:00,9,2017-01-01,1.375,0.0,0.0,68.17,-4.55,-4.54,-4.63,-4.44,98.5,101.03,,,,0.0,0.0,0.4,0.62,113.46,-4.54,,,0.6222222222222223,0.0
