"file name: lowcamp"
"#","Date Time, GMT+00:00","Wind Direction, ø (LGR S/N: 20074514, SEN S/N: 20071712, LBL: WindDir)","Wind Speed, m/s (LGR S/N: 20074514, SEN S/N: 20071737, LBL: WindVel)","Gust Speed, m/s (LGR S/N: 20074514, SEN S/N: 20071737, LBL: GustVel)","Temp, °C (LGR S/N: 20074514, SEN S/N: 20075022, LBL: Temp)","RH, % (LGR S/N: 20074514, SEN S/N: 20075022, LBL: RH)","Rain, mm (LGR S/N: 20074514, SEN S/N: 20082500, LBL: Rain)","Solar Radiation, W/m² (LGR S/N: 20074514, SEN S/N: 20082582, LBL: sol1)","Solar Radiation, W/m² (LGR S/N: 20074514, SEN S/N: 20082583, LBL: sol2)"
1,07/02/17 18:22:31,103.9,3.52,7.05,-3.330,89.800,,391.9,369.4
2,07/02/17 18:37:31,195.1,5.03,7.05,-3.956,89.000,0.00,404.4,393.1
3,07/02/17 18:52:31,190.9,5.03,6.54,-3.986,89.900,0.00,348.1,339.4
4,07/02/17 19:07:31,190.9,4.53,6.04,-3.896,90.300,0.00,340.6,333.1
5,07/02/17 19:22:31,212.0,5.54,7.55,-4.046,89.900,0.00,436.9,423.1
6,07/02/17 19:37:31,223.2,5.03,7.05,-3.866,90.800,0.00,334.4,321.9
7,07/02/17 19:52:31,241.5,4.03,6.04,-4.287,91.500,0.00,284.4,275.6
8,07/02/17 20:07:31,262.5,3.02,4.03,-4.499,91.500,0.00,306.9,295.6
9,07/02/17 20:22:31,263.9,2.52,4.03,-4.439,91.700,0.00,306.9,296.9
10,07/02/17 20:37:31,263.9,3.02,5.03,-4.590,91.700,0.00,306.9,293.1
11,07/02/17 20:52:31,259.7,2.52,4.53,-4.682,91.200,0.00,285.6,271.9
12,07/02/17 21:07:31,237.3,2.01,3.52,-4.621,91.200,0.20,280.6,269.4
13,07/02/17 21:22:31,230.2,2.01,3.02,-4.499,91.500,0.20,286.9,275.6
14,07/02/17 21:37:31,224.6,2.52,3.52,-4.682,90.900,0.00,319.4,330.6
15,07/02/17 21:52:31,221.8,2.01,3.02,-4.590,90.500,0.00,219.4,215.6
16,07/02/17 22:07:31,210.6,1.51,2.52,-4.865,91.800,0.00,198.1,189.4
