T,z,zeta
266.98,813,0.975990396158463
258.6,733,0.879951980792317
255.33,633,0.759903961584634
254.93,574.9,0.69015606242497
253.44,533,0.639855942376951
253.41,488.9,0.586914765906362
252.32,383,0.459783913565426
250.76,308,0.369747899159664
251.54,288.1,0.345858343337335
251.93,273.7,0.328571428571429
253.09,233,0.279711884753902
253.34,223.5,0.268307322929172
255.19,187.8,0.225450180072029
256.8,183,0.21968787515006
256.53,173.4,0.208163265306122
267.41,87.6,0.10516206482593
269.76,73.1,0.0877551020408164
272.1,44,0.0528211284513806
272.1,43.9,0.0527010804321728
272.42,37.5,0.0450180072028812
272.59,33.9,0.0406962785114045
272.56,23.9,0.0286914765906362
272.55,12.4,0.0148859543817527
272.57,5.39999999999998,0.00648259303721486
272.56,4.5,0.00540216086434574
272.56,3.60000000000002,0.00432172869147662
272.56,3,0.00360144057623049
272.56,1.10000000000002,0.00132052821128454
272.57,0.200000000000045,0.000240096038415421
