Time (UTC-0),Q,soy,doy
2017-07-23 15:47:05,0.12918,17596025.00000,203.65770
2017-07-23 15:47:10,0.12590,17596030.00000,203.65775
2017-07-23 15:47:15,0.12587,17596035.00000,203.65781
2017-07-23 15:47:20,0.12862,17596040.00000,203.65787
2017-07-23 15:47:25,0.12896,17596045.00000,203.65793
2017-07-23 15:47:30,0.13322,17596050.00000,203.65799
2017-07-23 15:47:35,0.12701,17596055.00000,203.65804
2017-07-23 15:47:40,0.12937,17596060.00000,203.65810
2017-07-23 15:47:45,0.12788,17596065.00000,203.65816
2017-07-23 15:47:50,0.12538,17596070.00000,203.65822
2017-07-23 15:47:55,0.13115,17596075.00000,203.65828
2017-07-23 15:48:00,0.13270,17596080.00000,203.65833
2017-07-23 15:48:05,0.13504,17596085.00000,203.65839
2017-07-23 15:48:10,0.13410,17596090.00000,203.65845
2017-07-23 15:48:15,0.12790,17596095.00000,203.65851
2017-07-23 15:48:20,0.13262,17596100.00000,203.65856
2017-07-23 15:48:25,0.13404,17596105.00000,203.65862
2017-07-23 15:48:30,0.13282,17596110.00000,203.65868
2017-07-23 15:48:35,0.13152,17596115.00000,203.65874
2017-07-23 15:48:40,0.13401,17596120.00000,203.65880
2017-07-23 15:48:45,0.13344,17596125.00000,203.65885
2017-07-23 15:48:50,0.13407,17596130.00000,203.65891
2017-07-23 15:48:55,0.13168,17596135.00000,203.65897
2017-07-23 15:49:00,0.13302,17596140.00000,203.65903
2017-07-23 15:49:05,0.12983,17596145.00000,203.65909
2017-07-23 15:49:10,0.13165,17596150.00000,203.65914
2017-07-23 15:49:15,0.13243,17596155.00000,203.65920
2017-07-23 15:49:20,0.13212,17596160.00000,203.65926
2017-07-23 15:49:25,0.13784,17596165.00000,203.65932
2017-07-23 15:49:30,0.13549,17596170.00000,203.65937
2017-07-23 15:49:35,0.13558,17596175.00000,203.65943
2017-07-23 15:49:40,0.13408,17596180.00000,203.65949
2017-07-23 15:49:45,0.13642,17596185.00000,203.65955
2017-07-23 15:49:50,0.13290,17596190.00000,203.65961
2017-07-23 15:49:55,0.13332,17596195.00000,203.65966
2017-07-23 15:50:00,0.13764,17596200.00000,203.65972
2017-07-23 15:50:05,0.13462,17596205.00000,203.65978
2017-07-23 15:50:10,0.13260,17596210.00000,203.65984
2017-07-23 15:50:15,0.13796,17596215.00000,203.65990
2017-07-23 15:50:20,0.13656,17596220.00000,203.65995
2017-07-23 15:50:25,0.13696,17596225.00000,203.66001
2017-07-23 15:50:30,0.13647,17596230.00000,203.66007
2017-07-23 15:50:35,0.13342,17596235.00000,203.66013
2017-07-23 15:50:40,0.13591,17596240.00000,203.66019
2017-07-23 15:50:45,0.13768,17596245.00000,203.66024
2017-07-23 15:50:50,0.13685,17596250.00000,203.66030
2017-07-23 15:50:55,0.13667,17596255.00000,203.66036
2017-07-23 15:51:00,0.14320,17596260.00000,203.66042
2017-07-23 15:51:05,0.13619,17596265.00000,203.66047
2017-07-23 15:51:10,0.13971,17596270.00000,203.66053
2017-07-23 15:51:15,0.13666,17596275.00000,203.66059
2017-07-23 15:51:20,0.13287,17596280.00000,203.66065
2017-07-23 15:51:25,0.13573,17596285.00000,203.66071
2017-07-23 15:51:30,0.13953,17596290.00000,203.66076
2017-07-23 15:51:35,0.14449,17596295.00000,203.66082
2017-07-23 15:51:40,0.13746,17596300.00000,203.66088
2017-07-23 15:51:45,0.14188,17596305.00000,203.66094
2017-07-23 15:51:50,0.14081,17596310.00000,203.66100
2017-07-23 15:51:55,0.13766,17596315.00000,203.66105
2017-07-23 15:52:00,0.14286,17596320.00000,203.66111
2017-07-23 15:52:05,0.14279,17596325.00000,203.66117
2017-07-23 15:52:10,0.14664,17596330.00000,203.66123
2017-07-23 15:52:15,0.14091,17596335.00000,203.66128
2017-07-23 15:52:20,0.13746,17596340.00000,203.66134
2017-07-23 15:52:25,0.14282,17596345.00000,203.66140
2017-07-23 15:52:30,0.13975,17596350.00000,203.66146
2017-07-23 15:52:35,0.14333,17596355.00000,203.66152
2017-07-23 15:52:40,0.14386,17596360.00000,203.66157
2017-07-23 15:52:45,0.14502,17596365.00000,203.66163
2017-07-23 15:52:50,0.14498,17596370.00000,203.66169
2017-07-23 15:52:55,0.14498,17596375.00000,203.66175
2017-07-23 15:53:00,0.13972,17596380.00000,203.66181
2017-07-23 15:53:05,0.14624,17596385.00000,203.66186
2017-07-23 15:53:10,0.14400,17596390.00000,203.66192
2017-07-23 15:53:15,0.14594,17596395.00000,203.66198
2017-07-23 15:53:20,0.14204,17596400.00000,203.66204
2017-07-23 15:53:25,0.14318,17596405.00000,203.66209
2017-07-23 15:53:30,0.14323,17596410.00000,203.66215
2017-07-23 15:53:35,0.14385,17596415.00000,203.66221
2017-07-23 15:53:40,0.14314,17596420.00000,203.66227
2017-07-23 15:53:45,0.14578,17596425.00000,203.66233
2017-07-23 15:53:50,0.14570,17596430.00000,203.66238
2017-07-23 15:53:55,0.14409,17596435.00000,203.66244
2017-07-23 15:54:00,0.14149,17596440.00000,203.66250
2017-07-23 15:54:05,0.14500,17596445.00000,203.66256
2017-07-23 15:54:10,0.14660,17596450.00000,203.66262
2017-07-23 15:54:15,0.14162,17596455.00000,203.66267
2017-07-23 15:54:20,0.14647,17596460.00000,203.66273
2017-07-23 15:54:25,0.14802,17596465.00000,203.66279
