"Plot Title: thincamp"
"#","Date Time, GMT+00:00","Wind Direction, ø (LGR S/N: 20074514, SEN S/N: 20071712, LBL: WindDir)","Wind Speed, m/s (LGR S/N: 20074514, SEN S/N: 20071737, LBL: WindVel)","Gust Speed, m/s (LGR S/N: 20074514, SEN S/N: 20071737, LBL: GustVel)","Temp, °C (LGR S/N: 20074514, SEN S/N: 20075022, LBL: Temp)","RH, % (LGR S/N: 20074514, SEN S/N: 20075022, LBL: RH)","Solar Radiation, W/m² (LGR S/N: 20074514, SEN S/N: 20082582, LBL: sol1)"
1,07/08/18 14:45:00,304.7,0.00,0.00,6.102,65.900,678.1
2,07/08/18 15:00:00,304.7,0.00,0.00,5.231,66.400,623.1
3,07/08/18 15:15:00,304.7,0.00,0.00,2.797,79.900,723.1
4,07/08/18 15:30:00,304.7,0.00,0.00,2.182,83.600,649.4
5,07/08/18 15:45:00,169.9,0.00,1.51,2.530,83.000,708.1
6,07/08/18 16:00:00,106.7,0.00,1.51,2.316,84.400,731.9
7,07/08/18 16:15:00,84.2,0.00,1.01,6.026,72.400,694.4
8,07/08/18 16:30:00,84.2,0.00,0.50,3.801,78.500,678.1
9,07/08/18 16:45:00,84.2,0.00,0.50,5.539,73.300,684.4
10,07/08/18 17:00:00,84.2,0.00,0.50,4.999,74.800,676.9
11,07/08/18 17:15:00,84.2,0.00,1.01,3.142,79.900,665.6
12,07/08/18 17:30:00,84.2,0.00,0.50,4.844,74.100,481.9
13,07/08/18 17:45:00,82.8,0.50,1.51,3.274,79.800,650.6
14,07/08/18 18:00:00,82.8,0.00,1.01,3.089,80.100,608.1
15,07/08/18 18:15:00,82.8,0.00,1.01,3.168,81.100,593.1
16,07/08/18 18:30:00,82.8,0.00,1.01,3.749,79.400,568.1
17,07/08/18 18:45:00,82.8,0.00,1.01,3.274,81.000,599.4
18,07/08/18 19:00:00,82.8,0.00,0.50,3.591,80.400,579.4
19,07/08/18 19:15:00,82.8,0.00,0.50,3.301,83.100,303.1
20,07/08/18 19:30:00,82.8,0.00,0.00,5.282,74.600,699.4
