Time (UTC-0),Discharge (m^3/s)
2018-07-11 23:42:00,0.45086
2018-07-11 23:47:00,0.43069
2018-07-11 23:52:00,0.39832
2018-07-11 23:57:00,0.42898
2018-07-12 00:02:00,0.40353
2018-07-12 00:07:00,0.41520
2018-07-12 00:12:00,0.40348
2018-07-12 00:17:00,0.41685
2018-07-12 00:22:00,0.42461
2018-07-12 00:27:00,0.40441
2018-07-12 00:32:00,0.43384
2018-07-12 00:37:00,0.42462
2018-07-12 00:42:00,0.42325
2018-07-12 00:47:00,0.41342
2018-07-12 00:52:00,0.41287
2018-07-12 00:57:00,0.40474
2018-07-12 01:02:00,0.40297
2018-07-12 01:07:00,0.42233
2018-07-12 01:12:00,0.40189
2018-07-12 01:17:00,0.41612
2018-07-12 01:22:00,0.38741
2018-07-12 01:27:00,0.40075
2018-07-12 01:32:00,0.41798
2018-07-12 01:37:00,0.40769
2018-07-12 01:42:00,0.40212
2018-07-12 01:47:00,0.39364
2018-07-12 01:52:00,0.40375
2018-07-12 01:57:00,0.40217
2018-07-12 02:02:00,0.39045
2018-07-12 02:07:00,0.39717
2018-07-12 02:12:00,0.39435
2018-07-12 02:17:00,0.38308
2018-07-12 02:22:00,0.41503
2018-07-12 02:27:00,0.38697
2018-07-12 02:32:00,0.39658
2018-07-12 02:37:00,0.39527
2018-07-12 02:42:00,0.40497
2018-07-12 02:47:00,0.38916
2018-07-12 02:52:00,0.38543
2018-07-12 02:57:00,0.38872
2018-07-12 03:02:00,0.38343
2018-07-12 03:07:00,0.38244
2018-07-12 03:12:00,0.39069
2018-07-12 03:17:00,0.39376
2018-07-12 03:22:00,0.38669
2018-07-12 03:27:00,0.39251
2018-07-12 03:32:00,0.40252
2018-07-12 03:37:00,0.38130
2018-07-12 03:42:00,0.39039
2018-07-12 03:47:00,0.40461
2018-07-12 03:52:00,0.38176
2018-07-12 03:57:00,0.37912
2018-07-12 04:02:00,0.38266
2018-07-12 04:07:00,0.38695
2018-07-12 04:12:00,0.36988
2018-07-12 04:17:00,0.38262
2018-07-12 04:22:00,0.35563
2018-07-12 04:27:00,0.36424
2018-07-12 04:32:00,0.36006
2018-07-12 04:37:00,0.35804
2018-07-12 04:42:00,0.36324
2018-07-12 04:47:00,0.36255
2018-07-12 04:52:00,0.35532
2018-07-12 04:57:00,0.34564
2018-07-12 05:02:00,0.33805
2018-07-12 05:07:00,0.33805
2018-07-12 05:12:00,0.34741
2018-07-12 05:17:00,0.33969
2018-07-12 05:22:00,0.33728
2018-07-12 05:27:00,0.31356
2018-07-12 05:32:00,0.33262
2018-07-12 05:37:00,0.32815
2018-07-12 05:42:00,0.32292
2018-07-12 05:47:00,0.33081
2018-07-12 05:52:00,0.32044
2018-07-12 05:57:00,0.30433
2018-07-12 06:02:00,0.32090
2018-07-12 06:07:00,0.32148
2018-07-12 06:12:00,0.30328
2018-07-12 06:17:00,0.31025
2018-07-12 06:22:00,0.30978
2018-07-12 06:27:00,0.30972
2018-07-12 06:32:00,0.29989
2018-07-12 06:37:00,0.29485
2018-07-12 06:42:00,0.29331
2018-07-12 06:47:00,0.29327
2018-07-12 06:52:00,0.28945
2018-07-12 06:57:00,0.28427
