Time (UTC-0),Discharge (m^3/s),SecOfYear,DayOfYear
2018-07-11 23:42:00,0.33814,16587720.00000,191.98750
2018-07-11 23:47:00,0.32302,16588020.00000,191.99097
2018-07-11 23:52:00,0.29874,16588320.00000,191.99444
2018-07-11 23:57:00,0.32174,16588620.00000,191.99792
2018-07-12 00:02:00,0.30265,16588920.00000,192.00139
2018-07-12 00:07:00,0.31140,16589220.00000,192.00486
2018-07-12 00:12:00,0.30261,16589520.00000,192.00833
2018-07-12 00:17:00,0.31263,16589820.00000,192.01181
2018-07-12 00:22:00,0.31846,16590120.00000,192.01528
2018-07-12 00:27:00,0.30331,16590420.00000,192.01875
2018-07-12 00:32:00,0.32538,16590720.00000,192.02222
2018-07-12 00:37:00,0.31846,16591020.00000,192.02569
2018-07-12 00:42:00,0.31744,16591320.00000,192.02917
2018-07-12 00:47:00,0.31006,16591620.00000,192.03264
2018-07-12 00:52:00,0.30965,16591920.00000,192.03611
2018-07-12 00:57:00,0.30355,16592220.00000,192.03958
2018-07-12 01:02:00,0.30223,16592520.00000,192.04306
2018-07-12 01:07:00,0.31675,16592820.00000,192.04653
2018-07-12 01:12:00,0.30142,16593120.00000,192.05000
2018-07-12 01:17:00,0.31209,16593420.00000,192.05347
2018-07-12 01:22:00,0.29056,16593720.00000,192.05694
2018-07-12 01:27:00,0.30056,16594020.00000,192.06042
2018-07-12 01:32:00,0.31348,16594320.00000,192.06389
2018-07-12 01:37:00,0.30577,16594620.00000,192.06736
2018-07-12 01:42:00,0.30159,16594920.00000,192.07083
2018-07-12 01:47:00,0.29523,16595220.00000,192.07431
2018-07-12 01:52:00,0.30281,16595520.00000,192.07778
2018-07-12 01:57:00,0.30163,16595820.00000,192.08125
2018-07-12 02:02:00,0.29284,16596120.00000,192.08472
2018-07-12 02:07:00,0.29788,16596420.00000,192.08819
2018-07-12 02:12:00,0.29576,16596720.00000,192.09167
2018-07-12 02:17:00,0.28731,16597020.00000,192.09514
2018-07-12 02:22:00,0.31127,16597320.00000,192.09861
2018-07-12 02:27:00,0.29023,16597620.00000,192.10208
2018-07-12 02:32:00,0.29743,16597920.00000,192.10556
2018-07-12 02:37:00,0.29646,16598220.00000,192.10903
2018-07-12 02:42:00,0.30373,16598520.00000,192.11250
2018-07-12 02:47:00,0.29187,16598820.00000,192.11597
2018-07-12 02:52:00,0.28907,16599120.00000,192.11944
2018-07-12 02:57:00,0.29154,16599420.00000,192.12292
2018-07-12 03:02:00,0.28757,16599720.00000,192.12639
2018-07-12 03:07:00,0.28683,16600020.00000,192.12986
2018-07-12 03:12:00,0.29302,16600320.00000,192.13333
2018-07-12 03:17:00,0.29532,16600620.00000,192.13681
2018-07-12 03:22:00,0.29002,16600920.00000,192.14028
2018-07-12 03:27:00,0.29438,16601220.00000,192.14375
2018-07-12 03:32:00,0.30189,16601520.00000,192.14722
2018-07-12 03:37:00,0.28598,16601820.00000,192.15069
2018-07-12 03:42:00,0.29279,16602120.00000,192.15417
2018-07-12 03:47:00,0.30346,16602420.00000,192.15764
2018-07-12 03:52:00,0.28632,16602720.00000,192.16111
2018-07-12 03:57:00,0.28434,16603020.00000,192.16458
2018-07-12 04:02:00,0.28700,16603320.00000,192.16806
2018-07-12 04:07:00,0.29021,16603620.00000,192.17153
2018-07-12 04:12:00,0.27741,16603920.00000,192.17500
2018-07-12 04:17:00,0.28696,16604220.00000,192.17847
2018-07-12 04:22:00,0.26673,16604520.00000,192.18194
2018-07-12 04:27:00,0.27318,16604820.00000,192.18542
2018-07-12 04:32:00,0.27004,16605120.00000,192.18889
2018-07-12 04:37:00,0.26853,16605420.00000,192.19236
2018-07-12 04:42:00,0.27243,16605720.00000,192.19583
2018-07-12 04:47:00,0.27191,16606020.00000,192.19931
2018-07-12 04:52:00,0.26649,16606320.00000,192.20278
2018-07-12 04:57:00,0.25923,16606620.00000,192.20625
2018-07-12 05:02:00,0.25354,16606920.00000,192.20972
2018-07-12 05:07:00,0.25354,16607220.00000,192.21319
2018-07-12 05:12:00,0.26056,16607520.00000,192.21667
2018-07-12 05:17:00,0.25477,16607820.00000,192.22014
2018-07-12 05:22:00,0.25296,16608120.00000,192.22361
2018-07-12 05:27:00,0.23517,16608420.00000,192.22708
2018-07-12 05:32:00,0.24946,16608720.00000,192.23056
2018-07-12 05:37:00,0.24611,16609020.00000,192.23403
2018-07-12 05:42:00,0.24219,16609320.00000,192.23750
2018-07-12 05:47:00,0.24811,16609620.00000,192.24097
2018-07-12 05:52:00,0.24033,16609920.00000,192.24444
2018-07-12 05:57:00,0.22824,16610220.00000,192.24792
2018-07-12 06:02:00,0.24068,16610520.00000,192.25139
2018-07-12 06:07:00,0.24111,16610820.00000,192.25486
2018-07-12 06:12:00,0.22746,16611120.00000,192.25833
2018-07-12 06:17:00,0.23268,16611420.00000,192.26181
2018-07-12 06:22:00,0.23234,16611720.00000,192.26528
2018-07-12 06:27:00,0.23229,16612020.00000,192.26875
2018-07-12 06:32:00,0.22492,16612320.00000,192.27222
2018-07-12 06:37:00,0.22114,16612620.00000,192.27569
2018-07-12 06:42:00,0.21998,16612920.00000,192.27917
2018-07-12 06:47:00,0.21995,16613220.00000,192.28264
2018-07-12 06:52:00,0.21709,16613520.00000,192.28611
2018-07-12 06:57:00,0.21320,16613820.00000,192.28958
2018-07-12 07:02:00,0.21909,16614120.00000,192.29306
2018-07-12 07:07:00,0.20903,16614420.00000,192.29653
2018-07-12 07:12:00,0.20761,16614720.00000,192.30000
2018-07-12 07:17:00,0.21179,16615020.00000,192.30347
2018-07-12 07:22:00,0.21505,16615320.00000,192.30694
2018-07-12 07:27:00,0.20336,16615620.00000,192.31042
2018-07-12 07:32:00,0.20325,16615920.00000,192.31389
2018-07-12 07:37:00,0.19441,16616220.00000,192.31736
2018-07-12 07:42:00,0.20728,16616520.00000,192.32083
2018-07-12 07:47:00,0.20891,16616820.00000,192.32431
2018-07-12 07:52:00,0.20307,16617120.00000,192.32778
2018-07-12 07:57:00,0.19843,16617420.00000,192.33125
2018-07-12 08:02:00,0.19544,16617720.00000,192.33472
2018-07-12 08:07:00,0.20443,16618020.00000,192.33819
2018-07-12 08:12:00,0.19393,16618320.00000,192.34167
2018-07-12 08:17:00,0.20396,16618620.00000,192.34514
2018-07-12 08:22:00,0.20004,16618920.00000,192.34861
2018-07-12 08:27:00,0.20260,16619220.00000,192.35208
2018-07-12 08:32:00,0.20133,16619520.00000,192.35556
2018-07-12 08:37:00,0.19443,16619820.00000,192.35903
2018-07-12 08:42:00,0.18769,16620120.00000,192.36250
2018-07-12 08:47:00,0.19648,16620420.00000,192.36597
2018-07-12 08:52:00,0.20458,16620720.00000,192.36944
2018-07-12 08:57:00,0.18941,16621020.00000,192.37292
2018-07-12 09:02:00,0.18869,16621320.00000,192.37639
2018-07-12 09:07:00,0.19912,16621620.00000,192.37986
2018-07-12 09:12:00,0.18896,16621920.00000,192.38333
2018-07-12 09:17:00,0.19031,16622220.00000,192.38681
2018-07-12 09:22:00,0.18623,16622520.00000,192.39028
2018-07-12 09:27:00,0.19749,16622820.00000,192.39375
2018-07-12 09:32:00,0.19074,16623120.00000,192.39722
2018-07-12 09:37:00,0.18243,16623420.00000,192.40069
2018-07-12 09:42:00,0.18773,16623720.00000,192.40417
