Time (UTC-0),Discharge (m^3/s),SecOfYear,DayOfYear
2017-07-14 18:00:05,0.03938,16826405.00000,194.75006
2017-07-14 18:00:10,0.03944,16826410.00000,194.75012
2017-07-14 18:00:15,0.03930,16826415.00000,194.75017
2017-07-14 18:00:20,0.03950,16826420.00000,194.75023
2017-07-14 18:00:25,0.03935,16826425.00000,194.75029
2017-07-14 18:00:30,0.03938,16826430.00000,194.75035
2017-07-14 18:00:35,0.03941,16826435.00000,194.75041
2017-07-14 18:00:40,0.03938,16826440.00000,194.75046
2017-07-14 18:00:45,0.03951,16826445.00000,194.75052
2017-07-14 18:00:50,0.03934,16826450.00000,194.75058
2017-07-14 18:00:55,0.03939,16826455.00000,194.75064
2017-07-14 18:01:00,0.03924,16826460.00000,194.75069
2017-07-14 18:01:05,0.03898,16826465.00000,194.75075
2017-07-14 18:01:10,0.03923,16826470.00000,194.75081
2017-07-14 18:01:15,0.03909,16826475.00000,194.75087
2017-07-14 18:01:20,0.03927,16826480.00000,194.75093
2017-07-14 18:01:25,0.03907,16826485.00000,194.75098
2017-07-14 18:01:30,0.03923,16826490.00000,194.75104
2017-07-14 18:01:35,0.03895,16826495.00000,194.75110
2017-07-14 18:01:40,0.03888,16826500.00000,194.75116
2017-07-14 18:01:45,0.03897,16826505.00000,194.75122
2017-07-14 18:01:50,0.03878,16826510.00000,194.75127
2017-07-14 18:01:55,0.03885,16826515.00000,194.75133
2017-07-14 18:02:00,0.03859,16826520.00000,194.75139
2017-07-14 18:02:05,0.03914,16826525.00000,194.75145
2017-07-14 18:02:10,0.03870,16826530.00000,194.75150
2017-07-14 18:02:15,0.03903,16826535.00000,194.75156
2017-07-14 18:02:20,0.03879,16826540.00000,194.75162
2017-07-14 18:02:25,0.03890,16826545.00000,194.75168
2017-07-14 18:02:30,0.03929,16826550.00000,194.75174
2017-07-14 18:02:35,0.03913,16826555.00000,194.75179
2017-07-14 18:02:40,0.03895,16826560.00000,194.75185
2017-07-14 18:02:45,0.03914,16826565.00000,194.75191
2017-07-14 18:02:50,0.03932,16826570.00000,194.75197
2017-07-14 18:02:55,0.03893,16826575.00000,194.75203
2017-07-14 18:03:00,0.03883,16826580.00000,194.75208
2017-07-14 18:03:05,0.03925,16826585.00000,194.75214
2017-07-14 18:03:10,0.03878,16826590.00000,194.75220
2017-07-14 18:03:15,0.03876,16826595.00000,194.75226
2017-07-14 18:03:20,0.03881,16826600.00000,194.75231
2017-07-14 18:03:25,0.03904,16826605.00000,194.75237
2017-07-14 18:03:30,0.03897,16826610.00000,194.75243
2017-07-14 18:03:35,0.03901,16826615.00000,194.75249
2017-07-14 18:03:40,0.03880,16826620.00000,194.75255
2017-07-14 18:03:45,0.03893,16826625.00000,194.75260
2017-07-14 18:03:50,0.03856,16826630.00000,194.75266
2017-07-14 18:03:55,0.03879,16826635.00000,194.75272
2017-07-14 18:04:00,0.03856,16826640.00000,194.75278
2017-07-14 18:04:05,0.03851,16826645.00000,194.75284
2017-07-14 18:04:10,0.03865,16826650.00000,194.75289
2017-07-14 18:04:15,0.03890,16826655.00000,194.75295
2017-07-14 18:04:20,0.03865,16826660.00000,194.75301
2017-07-14 18:04:25,0.03850,16826665.00000,194.75307
2017-07-14 18:04:30,0.03840,16826670.00000,194.75312
2017-07-14 18:04:35,0.03828,16826675.00000,194.75318
2017-07-14 18:04:40,0.03847,16826680.00000,194.75324
