depth_m,temp_C
-6.44829846166192,0.101966708252121
-11.0927339371947,-3.18725759182174
-15.7284432133084,-3.49889460464133
-21.1325090698335,-2.40830058396169
-25.7654787251995,-1.78511368101539
-31.171776865297,-1.45622803614498
-35.8060655973194,-1.28314153708596
-41.2128203408748,-1.11005987817654
-46.6199302204531,-1.05815909723676
-51.2550306919563,-1.16205746210837
-71.3390962580962,-1.1448717520024
-105.328869108486,-1.57787356847656
-139.319098562334,-2.16667937091169
-173.3093787499,-2.77279672734249
-207.299709671183,-3.39622563776896
-241.291562603993,-4.53900116806536
-262.923198346512,-5.42202594603314
-274.512370069361,-6.16649537009076
-309.278870563559,-8.05367256235034
-343.271484502132,-9.4561214025817
-363.356514008905,-9.76785521839335
-442.916708167986,-8.46998720412765
-502.387864856607,-5.49277260839282
-552.589936744008,-2.68861547081939
-584.256933785739,-1.28657804330431
-597.387080301685,-0.680755935999304
-606.65606363547,-0.473075369846569
-609.74577548045,-0.42116006845799
-613.607851869527,-0.334626499227682
