depth_m,temp_C
-4.90539578729806,-0.590485771275251
-12.6325418547879,-1.43880031855884
-48.9371253201817,-0.988927401702917
-84.4701559809587,-0.850657616619351
-120.778696676322,-1.75108591142527
-156.31543089848,-2.87655956802521
-192.626153143698,-4.52138468464468
-228.937636394679,-6.42588311119913
-265.249271846812,-8.38231619974057
-300.787933950237,-10.1656289081758
-307.74332427824,-11.2563003712491
-307.74332427824,-11.2563003712491
-355.638297075705,-11.9663741743467
-408.172378308359,-14.1479591079735
-456.063596810725,-13.5769779153919
-497.774275481346,-12.7289731376829
-515.537949723552,-11.690391221384
-537.162330544461,-10.0978637779717
-555.696745851802,-8.47069386596973
-578.092578009893,-6.53194018279381
-595.854070702244,-4.74896144468125
-622.111979249412,-2.72367419227501
-646.054924980423,-1.52932701121187
-666.909427209394,-0.819683981428916
-676.950775087277,-0.577385147434452
-687.765197781304,-0.542829801537572
-690.854808158848,-0.456291392157663
-697.807205197515,-0.525581169486752
-699.351731350841,-0.387098417820642
-702.442102734148,-0.560233318375698
-706.303976188355,-0.404453533162734
-708.621729358977,-0.525648931581198
