UTC_DOY,UTC_SOY,foxx_z_meters,foxx_dz_mper6h,m3_m3s_6h,m4_m3s_6h,mF_m3s_6h
1,86400,NaN,NaN,NaN,NaN,NaN
1.25,108000,2.352,NaN,NaN,NaN,NaN
1.5,129600,2.352,0,0,0,0
1.75,151200,2.351,-0.00099999999999989,-0.257099629629601,-0.950453518518414,-0.551303796296236
2,172800,2.349,-0.00199999999999978,-0.514199259259203,-1.90090703703683,-1.10260759259247
2.25,194400,2.351,0.00199999999999978,0.514199259259203,1.90090703703683,1.10260759259247
2.5,216000,2.351,0,0,0,0
2.75,237600,2.35,-0.00099999999999989,-0.257099629629601,-0.950453518518414,-0.551303796296236
3,259200,2.349,-0.00099999999999989,-0.257099629629601,-0.950453518518414,-0.551303796296236
3.25,280800,2.35,0.00099999999999989,0.257099629629601,0.950453518518414,0.551303796296236
3.5,302400,2.349,-0.00099999999999989,-0.257099629629601,-0.950453518518414,-0.551303796296236
3.75,324000,2.348,-0.00100000000000033,-0.257099629629715,-0.950453518518836,-0.55130379629648
4,345600,2.35,0.00200000000000022,0.514199259259317,1.90090703703725,1.10260759259272
4.25,367200,2.35,0,0,0,0
4.5,388800,2.348,-0.00200000000000022,-0.514199259259317,-1.90090703703725,-1.10260759259272
4.75,410400,2.35,0.00200000000000022,0.514199259259317,1.90090703703725,1.10260759259272
5,432000,2.35,0,0,0,0
5.25,453600,2.348,-0.00200000000000022,-0.514199259259317,-1.90090703703725,-1.10260759259272
5.5,475200,2.35,0.00200000000000022,0.514199259259317,1.90090703703725,1.10260759259272
5.75,496800,2.352,0.00199999999999978,0.514199259259203,1.90090703703683,1.10260759259247
6,518400,2.354,0.00200000000000022,0.514199259259317,1.90090703703725,1.10260759259272
6.25,540000,2.353,-0.00099999999999989,-0.257099629629601,-0.950453518518414,-0.551303796296236
6.5,561600,2.352,-0.00100000000000033,-0.257099629629715,-0.950453518518836,-0.55130379629648
6.75,583200,2.352,0,0,0,0
7,604800,2.352,0,0,0,0
7.25,626400,2.351,-0.00099999999999989,-0.257099629629601,-0.950453518518414,-0.551303796296236
7.5,648000,2.35,-0.00099999999999989,-0.257099629629601,-0.950453518518414,-0.551303796296236
