Timestamp_UTC,water_level_above_bed,submerged_depth,ground_water_level_altitude,Patm_variability_mH2O,stream_stage,stream_distance_to_water_m,ablation_distance_to_ice_surface_m
2017-07-20T21:15:00,323.000000,21.310000,585.800000,0.000000,NaN,NaN,NaN
2017-07-20T21:30:00,322.610000,20.920000,585.410000,0.000000,NaN,NaN,NaN
2017-07-20T21:45:00,322.410000,20.720000,585.210000,0.000000,NaN,NaN,NaN
2017-07-20T22:00:00,322.160000,20.470000,584.960000,0.000000,NaN,NaN,NaN
2017-07-20T22:15:00,321.890000,20.200000,584.690000,0.000000,NaN,NaN,NaN
2017-07-20T22:30:00,321.536940,19.846940,584.336940,0.003060,NaN,NaN,NaN
2017-07-20T22:45:00,321.176940,19.486940,583.976940,0.003060,NaN,NaN,NaN
2017-07-20T23:00:00,320.886940,19.196940,583.686940,0.003060,NaN,NaN,NaN
2017-07-20T23:15:00,320.596940,18.906940,583.396940,0.003060,NaN,NaN,NaN
2017-07-20T23:30:00,320.055920,18.365920,582.855920,0.004080,NaN,NaN,NaN
2017-07-20T23:45:00,319.545920,17.855920,582.345920,0.004080,NaN,NaN,NaN
2017-07-21T00:00:00,319.105920,17.415920,581.905920,0.004080,NaN,NaN,NaN
2017-07-21T00:15:00,318.615920,16.925920,581.415920,0.004080,NaN,NaN,NaN
2017-07-21T00:30:00,318.108980,16.418980,580.908980,0.001020,NaN,NaN,NaN
2017-07-21T00:45:00,317.428980,15.738980,580.228980,0.001020,NaN,NaN,NaN
2017-07-21T01:00:00,316.838980,15.148980,579.638980,0.001020,NaN,NaN,NaN
2017-07-21T01:15:00,316.318980,14.628980,579.118980,0.001020,NaN,NaN,NaN
2017-07-21T01:30:00,315.788980,14.098980,578.588980,0.001020,NaN,NaN,NaN
2017-07-21T01:45:00,315.148980,13.458980,577.948980,0.001020,NaN,NaN,NaN
2017-07-21T02:00:00,314.548980,12.858980,577.348980,0.001020,NaN,NaN,NaN
2017-07-21T02:15:00,313.958980,12.268980,576.758980,0.001020,NaN,NaN,NaN
2017-07-21T02:30:00,313.441020,11.751020,576.241020,-0.001020,NaN,NaN,NaN
2017-07-21T02:45:00,312.871020,11.181020,575.671020,-0.001020,NaN,NaN,NaN
2017-07-21T03:00:00,312.341020,10.651020,575.141020,-0.001020,NaN,NaN,NaN
2017-07-21T03:15:00,311.881020,10.191020,574.681020,-0.001020,NaN,NaN,NaN
2017-07-21T03:30:00,311.393060,9.703060,574.193060,-0.003060,NaN,NaN,NaN
2017-07-21T03:45:00,310.953060,9.263060,573.753060,-0.003060,NaN,NaN,NaN
2017-07-21T04:00:00,310.453060,8.763060,573.253060,-0.003060,NaN,NaN,NaN
2017-07-21T04:15:00,309.953060,8.263060,572.753060,-0.003060,NaN,NaN,NaN
2017-07-21T04:30:00,309.507140,7.817140,572.307140,-0.007140,NaN,NaN,NaN
2017-07-21T04:45:00,309.064140,7.374140,571.864140,-0.007140,NaN,NaN,NaN
2017-07-21T05:00:00,308.492140,6.802140,571.292140,-0.007140,NaN,NaN,NaN
2017-07-21T05:15:00,307.984140,6.294140,570.784140,-0.007140,NaN,NaN,NaN
