"TOA5","SpareLogger","CR1000","88271","CR1000.Std.32.02","CPU:LC2_15min_allData.CR1","9483","Table1"
"TIMESTAMP","RECORD","BattV","PTemp_C","Stage","Freq","Amp","SNRat","NFreq","DRat","TR","TT","Digits","Lvl"
"TS","RN","Volts","Deg C","in","Hz","mV RMS","","Hz","","ohms","deg C","digits","ft"
"","","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp"
"2018-07-19 19:45:00",0,14.06,6.222,65.49,2929,2.938,559.8,3293,0.672,7999,-0.62,8578.498,-130.6
"2018-07-19 20:00:00",1,14.09,6.199,65.67,2928,2.938,643.6,2753,0.672,7999,-0.622,8575.482,-132.3
"2018-07-19 20:15:00",2,14.13,5.96,66.26,2928,2.875,598.9,3315,0.672,7999,-0.623,8574.076,-133.1
"2018-07-19 20:30:00",3,14.13,5.7,66.65,2928,2.875,647.9,3253,0.672,7999,-0.625,8573.936,-133.2
"2018-07-19 20:45:00",4,14.14,5.42,67.25,2928,2.938,839,3182,0.672,7999,-0.628,8575.51,-132.3
"2018-07-19 21:00:00",5,14.15,5.225,68.15,2929,2.938,557.3,2703,0.672,7999,-0.632,8577.888,-131
"2018-07-19 21:15:00",6,14.15,5.097,68.74,2929,2.875,417.9,2552,0.672,7999,-0.637,8581.387,-129
"2018-07-19 21:30:00",7,14.16,4.902,69.34,2930,2.75,275.7,3305,0.672,7999,-0.641,8585.11,-126.9
"2018-07-19 21:45:00",8,14.18,4.6,69.98,2931,2.75,333.8,3326,0.672,7999,-0.645,8590.525,-123.8
"2018-07-19 22:00:00",9,14.17,4.342,70.73,2932,2.813,643.6,3083,0.672,7999,-0.645,8596.635,-120.4
"2018-07-19 22:15:00",10,14.18,4.299,71.42,2933,2.688,333.8,3291,0.672,7999,-0.644,8602.508,-117.1
"2018-07-19 22:30:00",11,14.2,4.342,71.91,2934,2.625,271.4,3283,0.672,7999,-0.646,8608.575,-113.7
"2018-07-19 22:45:00",12,14.02,4.342,72.16,2935,2.813,432.3,3148,0.672,7999,-0.647,8614.522,-110.3
"2018-07-19 23:00:00",13,13.98,4.193,72.59,2936,2.875,442.1,2648,0.672,7999,-0.648,8620.829,-106.7
"2018-07-19 23:15:00",14,13.97,4.127,73.04,2937,2.75,450.1,3600,0.672,7999,-0.648,8626.234,-103.7
"2018-07-19 23:30:00",15,13.94,4.084,73.3,2938,2.813,316.9,3271,0.672,7999,-0.648,8632.577,-100.1
"2018-07-19 23:45:00",16,13.95,3.784,73.52,2939,2.875,824,2718,0.672,7999,-0.65,8638.124,-97
"2018-07-20 00:00:00",17,14.06,3.506,73.66,2940,2.688,474,3600,0.672,7999,-0.65,8643.863,-93.8
"2018-07-20 00:15:00",18,14.05,3.165,74.03,2941,2.688,217.7,3259,0.672,7999,-0.651,8649.903,-90.3
"2018-07-20 00:30:00",19,14.05,3.057,74.42,2942,2.938,524.5,3214,0.672,7999,-0.654,8656.453,-86.6
"2018-07-20 00:45:00",20,14.05,3.014,74.58,2943,2.938,347.5,3256,0.672,7999,-0.654,8662.453,-83.3
"2018-07-20 01:00:00",21,14.05,2.887,74.86,2944,2.813,215.8,3264,0.672,7999,-0.654,8669.146,-79.48
"2018-07-20 01:15:00",22,13.84,2.715,75.07,2945,2.875,315.5,3301,0.672,7999,-0.653,8674.682,-76.36
"2018-07-20 01:30:00",23,13.59,2.503,75.32,2946,2.875,448.1,3353,0.672,7999,-0.653,8681.154,-72.71
"2018-07-20 01:45:00",24,13.49,2.311,75.54,2947,2.688,310.6,3377,0.672,7999,-0.654,8687.542,-69.1
"2018-07-20 02:00:00",25,13.42,2.119,75.79,2949,2.75,326.3,3391,0.672,7999,-0.655,8694.129,-65.39
"2018-07-20 02:15:00",26,13.37,1.821,76.06,2950,2.938,882,3168,0.672,7999,-0.658,8700.452,-61.82
"2018-07-20 02:30:00",27,13.34,1.543,76.26,2951,2.813,323.4,3422,0.672,7999,-0.66,8707.003,-58.12
"2018-07-20 02:45:00",28,13.32,1.288,76.5,2952,2.75,290.3,3431,0.672,7999,-0.661,8713.508,-54.45
"2018-07-20 03:00:00",29,13.3,1.075,76.65,2953,2.875,765.2,2686,0.672,7999,-0.664,8720.121,-50.72
"2018-07-20 03:15:00",30,13.3,0.946,76.85,2954,2.688,388.9,3445,0.672,7999,-0.665,8726.38,-47.19
"2018-07-20 03:30:00",31,13.29,0.863,77.03,2955,2.563,296.9,3444,0.672,7999,-0.669,8732.96,-43.47
