dataset,channel_length,creep_factor,baseflow,friction_sub,radius,A
jeme,25000,3,0,0.01,0.75,6.00E-24
jeme,25000,3,0,0.01,0.75,6.00E-26
jeme,25000,3,0,0.01,0.75,6.00E-20
jeme,25000,3,0,0.1,0.75,6.00E-20
jeme,25000,3,0,1,0.75,6.00E-20
jeme,10000,3,0,0.01,0.75,6.00E-20
jeme,1000,3,0,0.01,0.75,6.00E-20
jeme,25000,0,0,0.01,0.75,6.00E-24
jeme,25000,5,0,0.01,0.75,6.00E-24
jeme,25000,3,1,0.01,1,6.00E-24
jeme,25000,3,2,0.01,1,6.00E-24
jeme,25000,3,3,0.01,1,6.00E-24
jeme,50000,3,3,0.01,1,6.00E-24
jeme,25000,3,3,0.1,1,6.00E-24
